price,grade,zipcode_valormedio,sqft_living
221900,7,310612.75572519086,1180
538000,7,469928.76772616134,2570
180000,6,462488.8692579505,770
604000,7,551768.5209125475,1960
510000,8,685675.8435374149,1680
1230000,11,677215.034739454,5420
257500,7,294111.27857142856,1715
291850,7,302896.7392857143,1060
229500,7,359496.2604166667,1780
323000,7,367091.48387096776,1890
662500,8,617254.0212765958,3560
468000,7,619944.1492281304,1160
310000,7,462488.8692579505,1430
400000,7,685675.8435374149,1370
530000,7,579109.8082706766,1810
650000,9,424734.60451977403,2950
395000,7,424815.06315789477,1890
485000,7,585048.7790697674,1600
189000,7,234284.0351758794,1200
230000,7,294111.27857142856,1250
385000,7,387011.5902636917,1620
2000000,9,1194873.6382978724,3050
285000,8,334921.0626780627,2270
252700,7,296187.98046875,1070
329000,8,296187.98046875,2450
233000,6,234284.0351758794,1710
937000,8,849714.8097826086,2450
667000,8,1096239.0074349442,1400
438000,7,619944.1492281304,1520
719000,8,645244.2264808363,2570
580500,8,617053.9660194175,2320
280000,7,387011.5902636917,1190
687500,7,576834.808318264,2330
535000,8,576834.808318264,1090
322500,7,353619.07472527475,2060
696000,8,619944.1492281304,2300
550000,5,645244.2264808363,1660
640000,8,579109.8082706766,2360
240000,7,281194.8698060942,1220
605000,8,420895.47536945814,2620
625000,9,685675.8435374149,2570
775000,8,464322.38976377953,4220
861990,9,677215.034739454,3595
685000,7,849714.8097826086,1570
309000,6,353619.07472527475,1280
488000,8,424815.06315789477,3160
210490,6,286742.81162324647,990
785000,9,617254.0212765958,2290
450000,7,619944.1492281304,1250
1350000,9,489382.0170940171,2753
228000,7,284908.5964912281,1190
345000,8,420895.47536945814,3150
600000,7,576834.808318264,1410
585000,7,576834.808318264,1980
920000,8,863228.9432314411,2730
885000,9,863228.9432314411,2830
292500,7,311580.33638025593,2250
301000,8,311580.33638025593,2420
951000,8,645628.2261484099,3250
430000,8,493625.3098290598,1850
650000,8,464322.38976377953,2150
289000,7,284908.5964912281,1260
505000,8,464322.38976377953,2519
549000,8,619944.1492281304,1540
425000,7,634558.1448275862,1660
317625,7,594706.5422740525,2770
975000,10,1356523.9905362776,2720
287000,7,281194.8698060942,2240
204000,7,311580.33638025593,1000
1330000,8,1356523.9905362776,3200
1040000,11,810289.6964285715,4770
325000,7,521740.0146788991,1260
571000,7,469928.76772616134,2750
360000,8,367091.48387096776,2380
349000,7,311580.33638025593,1790
832500,10,790734.704735376,3430
380000,7,645628.2261484099,1760
480000,7,618695.1090909091,1040
410000,7,387011.5902636917,1410
720000,10,423665.99,3450
390000,8,367091.48387096776,2350
360000,7,367091.48387096776,1900
355000,7,418019.36094674555,2020
356000,8,493625.3098290598,1680
315000,6,469928.76772616134,960
940000,9,849714.8097826086,2140
305000,7,334921.0626780627,2660
461000,9,420895.47536945814,2770
215000,7,420895.47536945814,1610
335000,7,551768.5209125475,1030
243500,7,286742.81162324647,1980
1100000,10,792187.8738170346,3520
153000,7,286742.81162324647,1200
430000,8,576834.808318264,1580
700000,8,576834.808318264,1580
905000,7,1194873.6382978724,3300
247500,7,251296.24,1960
199000,7,286742.81162324647,1160
314000,7,367091.48387096776,1810
437500,9,440232.31363636366,2320
