bedrooms,bathrooms,sqft_living15,price,grade,zipcode_valormedio,sqft_living
3,1.0,1340,221900,7,310612.75572519086,1180
3,2.25,1690,538000,7,469928.76772616134,2570
2,1.0,2720,180000,6,462488.8692579505,770
4,3.0,1360,604000,7,551768.5209125475,1960
3,2.0,1800,510000,8,685675.8435374149,1680
4,4.5,4760,1230000,11,677215.034739454,5420
3,2.25,2238,257500,7,294111.27857142856,1715
3,1.5,1650,291850,7,302896.7392857143,1060
3,1.0,1780,229500,7,359496.2604166667,1780
3,2.5,2390,323000,7,367091.48387096776,1890
3,2.5,2210,662500,8,617254.0212765958,3560
2,1.0,1330,468000,7,619944.1492281304,1160
3,1.0,1780,310000,7,462488.8692579505,1430
3,1.75,1370,400000,7,685675.8435374149,1370
5,2.0,1360,530000,7,579109.8082706766,1810
4,3.0,2140,650000,9,424734.60451977403,2950
3,2.0,1890,395000,7,424815.06315789477,1890
4,1.0,1610,485000,7,585048.7790697674,1600
2,1.0,1060,189000,7,234284.0351758794,1200
3,1.0,1280,230000,7,294111.27857142856,1250
4,1.75,1400,385000,7,387011.5902636917,1620
3,2.75,4110,2000000,9,1194873.6382978724,3050
5,2.5,2240,285000,8,334921.0626780627,2270
2,1.5,1220,252700,7,296187.98046875,1070
3,2.25,2200,329000,8,296187.98046875,2450
3,2.0,1030,233000,6,234284.0351758794,1710
3,1.75,1760,937000,8,849714.8097826086,2450
3,1.0,1860,667000,8,1096239.0074349442,1400
3,1.75,1520,438000,7,619944.1492281304,1520
4,2.5,2630,719000,8,645244.2264808363,2570
3,2.5,2580,580500,8,617053.9660194175,2320
2,1.5,1390,280000,7,387011.5902636917,1190
4,1.75,1460,687500,7,576834.808318264,2330
3,1.0,1570,535000,8,576834.808318264,1090
4,2.75,2020,322500,7,353619.07472527475,2060
3,2.5,1590,696000,8,619944.1492281304,2300
4,1.0,2160,550000,5,645244.2264808363,1660
4,2.0,1730,640000,8,579109.8082706766,2360
4,1.0,1290,240000,7,281194.8698060942,1220
4,2.5,2620,605000,8,420895.47536945814,2620
4,2.5,2470,625000,9,685675.8435374149,2570
4,2.25,2410,775000,8,464322.38976377953,4220
5,2.75,3625,861990,9,677215.034739454,3595
3,1.0,1580,685000,7,849714.8097826086,1570
3,1.0,1340,309000,6,353619.07472527475,1280
3,2.5,3050,488000,8,424815.06315789477,3160
3,1.0,1228,210490,6,286742.81162324647,990
4,2.5,2680,785000,9,617254.0212765958,2290
3,1.75,970,450000,7,619944.1492281304,1250
3,2.5,2680,1350000,9,489382.0170940171,2753
3,1.0,1190,228000,7,284908.5964912281,1190
5,2.5,1990,345000,8,420895.47536945814,3150
3,1.75,1410,600000,7,576834.808318264,1410
2,1.75,1480,585000,7,576834.808318264,1980
5,2.25,2730,920000,8,863228.9432314411,2730
4,2.5,1950,885000,9,863228.9432314411,2830
4,2.5,2250,292500,7,311580.33638025593,2250
3,2.5,2690,301000,8,311580.33638025593,2420
5,3.25,2960,951000,8,645628.2261484099,3250
4,3.0,2270,430000,8,493625.3098290598,1850
3,2.25,2570,650000,8,464322.38976377953,2150
3,1.75,1290,289000,7,284908.5964912281,1260
3,1.75,2500,505000,8,464322.38976377953,2519
3,1.75,1580,549000,8,619944.1492281304,1540
3,2.25,1440,425000,7,634558.1448275862,1660
3,2.75,1440,317625,7,594706.5422740525,2770
4,2.5,2750,975000,10,1356523.9905362776,2720
4,2.5,2221,287000,7,281194.8698060942,2240
3,1.0,1010,204000,7,311580.33638025593,1000
5,2.25,3390,1330000,8,1356523.9905362776,3200
5,3.25,3530,1040000,11,810289.6964285715,4770
3,2.0,1640,325000,7,521740.0146788991,1260
4,2.0,1510,571000,7,469928.76772616134,2750
4,2.5,2420,360000,8,367091.48387096776,2380
3,1.75,1940,349000,7,311580.33638025593,1790
4,4.0,3240,832500,10,790734.704735376,3430
4,1.75,1680,380000,7,645628.2261484099,1760
3,1.0,890,480000,7,618695.1090909091,1040
3,1.0,1130,410000,7,387011.5902636917,1410
4,2.5,3350,720000,10,423665.99,3450
3,2.5,2350,390000,8,367091.48387096776,2350
4,2.5,1870,360000,7,367091.48387096776,1900
2,1.0,1720,355000,7,418019.36094674555,2020
3,1.5,1850,356000,8,493625.3098290598,1680
3,1.0,1570,315000,6,469928.76772616134,960
3,1.5,2020,940000,9,849714.8097826086,2140
5,2.25,1590,305000,7,334921.0626780627,2660
3,3.25,1900,461000,9,420895.47536945814,2770
2,2.25,1950,215000,7,420895.47536945814,1610
2,1.75,1030,335000,7,551768.5209125475,1030
4,2.5,1980,243500,7,286742.81162324647,1980
5,2.75,2520,1100000,10,792187.8738170346,3520
3,1.0,1350,153000,7,286742.81162324647,1200
3,1.5,1570,430000,8,576834.808318264,1580
3,1.5,1570,700000,8,576834.808318264,1580
4,2.5,1950,905000,7,1194873.6382978724,3300
3,1.75,1750,247500,7,251296.24,1960
4,1.5,1160,199000,7,286742.81162324647,1160
3,1.75,1650,314000,7,367091.48387096776,1810
3,2.5,2550,437500,9,440232.31363636366,2320
3,2.5,2200,850830,9,899607.6730769231,2070
3,2.0,1610,555000,7,576834.808318264,1980
3,2.25,2570,699950,8,682885.9898989899,2190
3,2.5,2370,1090000,8,1356523.9905362776,2920
3,1.0,1640,290000,7,353619.07472527475,1210
3,2.5,2250,375000,8,353619.07472527475,2340
3,1.0,1240,460000,7,576834.808318264,1670
2,1.75,1270,188500,8,302896.7392857143,1240
4,2.5,2990,680000,10,682885.9898989899,3140
5,1.75,2500,470000,7,645244.2264808363,2030
4,2.5,1940,597750,8,617053.9660194175,2310
3,1.75,1380,570000,6,585048.7790697674,1260
3,1.75,1540,272500,7,367091.48387096776,1540
3,1.75,2090,329950,7,355678.51612903224,2080
4,2.5,2640,480000,9,281194.8698060942,3230
3,3.5,1830,740500,8,576834.808318264,4380
3,3.5,1620,518500,8,585048.7790697674,1590
2,1.0,1190,205425,6,310612.75572519086,880
4,2.0,1880,171800,6,240328.3717472119,1570
4,1.0,1610,535000,7,594706.5422740525,1610
3,2.5,2340,660000,8,676419.3921568628,2400
3,2.0,1580,391500,7,521740.0146788991,1450
2,1.0,1710,395000,6,576834.808318264,770
4,1.75,1850,445000,7,418019.36094674555,2100
3,2.25,2700,770000,9,645244.2264808363,2910
4,2.75,3060,1450000,8,1356523.9905362776,2750
3,2.25,2660,445000,8,310612.75572519086,2100
4,2.25,2090,260000,8,286742.81162324647,2160
5,3.5,1700,822500,7,585048.7790697674,2320
4,2.5,1970,430000,7,529629.7824675324,2070
3,1.75,1420,212000,7,334921.0626780627,1060
4,2.25,2060,660500,8,617053.9660194175,2010
3,3.5,2480,784000,9,645244.2264808363,3950
3,2.5,1690,453246,8,612642.738317757,2010
4,3.5,1540,675000,9,579109.8082706766,2140
3,1.75,1550,199000,7,294111.27857142856,1320
4,1.75,1750,220000,7,294111.27857142856,2020
4,2.25,1550,452000,8,462488.8692579505,2590
2,1.0,1060,382500,6,469928.76772616134,1190
3,2.25,1350,519950,8,579109.8082706766,1170
2,1.0,1170,665000,7,849714.8097826086,1110
5,2.5,2820,527700,8,859938.5542168674,2820
3,1.0,1610,205000,7,353619.07472527475,1610
3,1.0,1560,420000,7,387011.5902636917,1060
4,2.25,2230,500000,8,859938.5542168674,2030
4,2.5,2840,921500,9,682885.9898989899,3670
4,1.0,2200,890000,8,880077.752293578,2550
2,2.5,1940,430000,7,617053.9660194175,2420
5,2.0,1360,258000,8,251296.24,2260
3,1.0,1450,511000,7,585048.7790697674,1430
3,2.0,1500,532170,8,585048.7790697674,1360
3,1.0,1420,560000,7,579109.8082706766,1110
3,1.0,1680,282950,7,294111.27857142856,1250
4,3.25,3160,2250000,12,859938.5542168674,5180
1,1.0,1010,350000,7,619944.1492281304,700
3,1.0,1190,215000,7,353619.07472527475,1180
5,3.5,2640,650000,9,420895.47536945814,3960
4,2.75,1980,320000,8,286742.81162324647,2640
3,2.0,1160,247000,7,316742.3905579399,1270
4,1.75,1730,320000,8,493625.3098290598,1760
5,2.25,1010,255000,7,359496.2604166667,2060
3,1.75,1200,438000,7,521740.0146788991,1780
3,2.5,3400,900000,10,790734.704735376,3400
3,2.75,1710,441000,7,521740.0146788991,1910
3,2.0,2110,420000,7,617053.9660194175,2020
3,1.75,1640,370000,7,521740.0146788991,1580
2,1.75,1830,269950,5,302896.7392857143,1340
4,2.5,2920,807100,9,859938.5542168674,2680
3,2.5,2480,653000,8,521740.0146788991,2680
3,2.0,1770,371500,7,387011.5902636917,1370
3,1.75,1070,284000,7,464322.38976377953,1560
3,1.75,1930,272000,7,286742.81162324647,2160
3,1.5,1480,313000,7,387011.5902636917,1340
4,2.5,3740,917500,10,803990.8194444445,3880
4,2.25,2260,673000,8,859938.5542168674,2590
3,2.5,1590,425000,8,634558.1448275862,1120
5,2.75,1280,399950,7,594706.5422740525,1970
3,1.0,1200,385000,6,634558.1448275862,1220
3,1.5,1950,269950,7,316742.3905579399,1950
2,1.0,1540,330000,7,676419.3921568628,1350
3,2.5,1670,260000,7,296187.98046875,1670
4,3.0,1410,470000,7,424734.60451977403,2380
4,3.0,2290,589000,7,521740.0146788991,2440
2,1.5,1050,163500,7,367091.48387096776,1050
4,2.75,2260,835000,9,645244.2264808363,3130
5,3.0,2540,1100000,10,803990.8194444445,4090
4,1.75,2190,269000,8,286742.81162324647,1490
3,2.5,2030,560000,8,685675.8435374149,1900
4,1.0,1330,615000,6,585048.7790697674,1330
3,2.25,2230,585188,8,645244.2264808363,2230
3,1.75,1540,305000,7,521740.0146788991,1650
3,1.0,1230,166950,6,353619.07472527475,1190
3,2.5,2680,799000,8,1194873.6382978724,2140
3,2.5,1900,400000,7,387011.5902636917,2180
3,1.0,1570,230000,7,423736.9058295964,1060
3,2.5,2550,256883,8,286742.81162324647,1690
4,2.0,1500,423000,7,355678.51612903224,1970
3,2.5,1750,465000,8,424734.60451977403,2150
3,2.5,2330,440000,7,586120.875,1910
3,1.75,1560,385000,7,367091.48387096776,1350
3,1.0,1300,210000,6,420895.47536945814,860
